timeout energy time overhead #transitions
101 0.2263083900 1082.580000 0.045000 18
102 0.2265559800 1082.580000 0.045000 18
103 0.2268035700 1082.580000 0.045000 18
104 0.2270511600 1082.580000 0.045000 18
105 0.2272987500 1082.580000 0.045000 18
106 0.2275463400 1082.580000 0.045000 18
107 0.2277939300 1082.580000 0.045000 18
108 0.2280415200 1082.580000 0.045000 18
109 0.2282891100 1082.580000 0.045000 18
110 0.2285367000 1082.580000 0.045000 18
111 0.2287842900 1082.580000 0.045000 18
112 0.2290318800 1082.580000 0.045000 18
113 0.2292794700 1082.580000 0.045000 18
114 0.2295270600 1082.580000 0.045000 18
115 0.2297746500 1082.580000 0.045000 18
116 0.2300222400 1082.580000 0.045000 18
117 0.2302698300 1082.580000 0.045000 18
118 0.2305174200 1082.580000 0.045000 18
119 0.2307650100 1082.580000 0.045000 18
120 0.2310126000 1082.580000 0.045000 18
121 0.2312601900 1082.580000 0.045000 18
122 0.2315077800 1082.580000 0.045000 18
123 0.2317553700 1082.580000 0.045000 18
124 0.2320029600 1082.580000 0.045000 18
125 0.2322505500 1082.580000 0.045000 18
126 0.2324981400 1082.580000 0.045000 18
127 0.2327457300 1082.580000 0.045000 18
128 0.2329933200 1082.580000 0.045000 18
129 0.2332409100 1082.580000 0.045000 18
130 0.2334885000 1082.580000 0.045000 18
131 0.2337360900 1082.580000 0.045000 18
132 0.2339836800 1082.580000 0.045000 18
133 0.2342312700 1082.580000 0.045000 18
134 0.2344788600 1082.580000 0.045000 18
135 0.2347264500 1082.580000 0.045000 18
136 0.2349740400 1082.580000 0.045000 18
137 0.2352216300 1082.580000 0.045000 18
138 0.2354692200 1082.580000 0.045000 18
139 0.2357168100 1082.580000 0.045000 18
140 0.2359644000 1082.580000 0.045000 18
141 0.2362119900 1082.580000 0.045000 18
142 0.2364595800 1082.580000 0.045000 18
143 0.2367071700 1082.580000 0.045000 18
144 0.2369547600 1082.580000 0.045000 18
145 0.2372023500 1082.580000 0.045000 18
146 0.2374499400 1082.580000 0.045000 18
147 0.2376975300 1082.580000 0.045000 18
148 0.2379451200 1082.580000 0.045000 18
149 0.2381927100 1082.580000 0.045000 18
150 0.2384403000 1082.580000 0.045000 18
151 0.2386878900 1082.580000 0.045000 18
152 0.2389354800 1082.580000 0.045000 18
153 0.2391830700 1082.580000 0.045000 18
154 0.2394306600 1082.580000 0.045000 18
155 0.2396782500 1082.580000 0.045000 18
156 0.2399258400 1082.580000 0.045000 18
157 0.2401734300 1082.580000 0.045000 18
158 0.2404210200 1082.580000 0.045000 18
159 0.2406686100 1082.580000 0.045000 18
160 0.2409162000 1082.580000 0.045000 18
161 0.2411637900 1082.580000 0.045000 18
162 0.2414113800 1082.580000 0.045000 18
163 0.2416589700 1082.580000 0.045000 18
164 0.2419065600 1082.580000 0.045000 18
165 0.2421541500 1082.580000 0.045000 18
166 0.2424017400 1082.580000 0.045000 18
167 0.2426493300 1082.580000 0.045000 18
168 0.2428969200 1082.580000 0.045000 18
169 0.2431445100 1082.580000 0.045000 18
170 0.2433921000 1082.580000 0.045000 18
171 0.2436396900 1082.580000 0.045000 18
172 0.2438872800 1082.580000 0.045000 18
173 0.2441348700 1082.580000 0.045000 18
